ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,Unnamed: 20,Unnamed: 21
B07HMT1M6M,($) nononfish,($) Baby Knee Pads for Crawling for Boy Girls Anti Slip Leg Warmers Kids Kneepads and Elbow Pads 6 Pair,($) Baby,($) zwjdavid,1.0,FBA,7.67,3.0,69,529.23,"19,076",4.0,118,33.0,8.9x9.8x0.6,0.3,Small Standard-Size,8.0,,,
197869170X,Visit Amazon's Robert T. Kiyosaki Page,Rich Dad Poor Dad: 20th Anniversary Edition: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Unknown,Amazon,2.0,AMZ,54.97,13.0,,,,4.5,"31,422",2487.0,5.5x6.5x1.0,0.47,Large Standard-Size,1.0,,,
B06Y6212TK,HUSAN,"HUSAN Great Gift Toy for Children Kids Code Electronic Piggy Banks Mini ATM Electronic Coin Bank Coin Box for Children Fun Toy, Red",Toys & Games,HUSAN,1.0,FBA,23.99,9.0,"4,889","117,287.11","1,205",4.5,"2,890",458.0,10.6x12.0x2.9,1.0,Large Standard-Size,7.0,12/01/2018,,
B0008JGW96,Le Guerandais,"Guerande 'Fleur De Sel' Sea Salt,4.4 oz, pack of 2",Grocery & Gourmet Food,,7.0,FBA,7.98,4.0,546,"4,357.08","13,952",5.0,284,33.0,3.4x6.0x3.2,0.7,Large Standard-Size,2.0,,,
B019G6DSDE,Visit Amazon's Robert Bryndza Page,The Girl in the Ice: A gripping serial killer thriller (Detective Erika Foster Book 1),Kindle Store,,1.0,,2.99,0.0,,,"27,432",4.5,"14,682",0.0,,,,1.0,,,
B085GN68LC,Chefman,"Chefman TurboFry 2 Liter Air Fryer, Dishwasher Safe Basket & Tray, Use Little To No Oil For Healthy Food, 30 Minute Timer, Fry Healthier Meals Fast, Heat And Power Indicator Light, Temp Control, Black",Kitchen & Dining,Amazon,1.0,AMZ,42.01,18.0,"7,940","333,559.40",332,4.5,"2,998",482.0,10.5x14.2x10.2,7.37,Small Oversize,8.0,03/04/2020,,
B081M7TFWS,Visit Amazon's Fiona Davis Page,The Lions of Fifth Avenue: A Novel,Kindle Store,,,,13.99,0.0,,,697,4.5,898,0.0,,,,,,,
B079DBS447,Visit Amazon's John Grisham Page,The Reckoning: A Novel,Kindle Store,,1.0,,9.99,0.0,,,"2,970",4.0,"10,268",0.0,,,,1.0,,,
B07H7YQ4PJ,($) AiKiddo,"($) Baby Muslin Washcloths 10 Pack, 6 Layers Natural Muslin Cotton Baby Wipes, Newborn Baby Face Towel for Sensitive Skin, Baby Registry as Shower Gift Set, Extra Soft, Breathable, 12x12 inches (Blue-Gree",($) Baby,($) rainbow10705,1.0,FBA,13.59,5.0,57,774.63,"15,746",4.5,127,14.0,8.3x9.7x1.9,0.6,Large Standard-Size,9.0,,,
B07R6MMMSW,($) AOKESI,"($) AOKESI Friction Powered Cars Push and Go Toys Car Construction Toys Toddler Trucks Set of 4 Tractor, Cement Mixer, Bulldozer & Dump Truck for Boys Age 1 2 3 Ideal Baby Kid Gift",($) Toys & Games,($) AOKESI,1.0,FBA,16.99,7.39,311,"5,283.89","18,138",5.0,212,40.0,7.6x8.9x3.2,1.12,Large Standard-Size,7.0,,,
